151.101.65.91,10.0.2.15,443,45524,6
10.0.2.15,151.101.65.91,45524,443,6
10.0.2.15,34.107.243.93,38314,443,6
142.251.153.2,10.0.2.15,443,39199,17
74.125.133.84,10.0.2.15,443,52984,17
10.0.2.15,142.251.153.2,39199,443,17
127.0.0.53,127.0.0.1,53,53026,17
185.125.190.99,10.0.2.15,80,42488,6
10.0.2.15,172.217.20.46,33536,443,6
10.0.2.15,157.240.27.54,52362,443,6
10.0.2.15,172.217.22.33,59472,443,6
10.0.2.15,150.171.109.245,50296,443,6
172.217.20.42,10.0.2.15,443,35942,6
10.0.2.15,74.125.133.84,52984,443,17
8.8.8.8,10.0.2.15,53,49366,17
10.0.2.15,150.171.109.245,50284,443,6
10.0.2.15,8.8.8.8,49366,53,17
10.0.2.15,185.125.190.99,42488,80,6
34.107.243.93,10.0.2.15,443,38314,6
157.240.27.54,10.0.2.15,443,52362,6
172.217.22.33,10.0.2.15,443,59472,6
10.0.2.15,151.101.193.91,42264,443,6
150.171.109.245,10.0.2.15,443,50296,6
10.0.2.15,172.217.20.42,35942,443,6
150.171.109.245,10.0.2.15,443,50284,6
151.101.193.91,10.0.2.15,443,42264,6
127.0.0.1,127.0.0.53,53026,53,17
172.217.20.46,10.0.2.15,443,33536,6
